date-time,latitude,longitude,depth,RMS,Nphs,errH,errZ,Mamp,errOT,stderrX,stderrY,publicId
2016-10-20T00:38:34.790000Z,42.83317,13.236,1.101,0.09758,13,0.368,0.4125,0.0,0.02583,0.1794,0.3212,8588051
2016-10-20T00:54:51.660000Z,42.7395,13.19583,6.381,0.0589,48,0.156,0.2031,0.0,0.01299,0.09405,0.1243,8588151
2016-10-20T00:56:51.280000Z,42.75867,13.13845,3.659,0.08533,48,0.177,0.4144,0.0,0.01332,0.1037,0.1438,8588201
2016-10-20T00:58:05.755000Z,42.7405,13.194,6.42,0.04803,31,0.198,0.2969,0.0,0.01674,0.1263,0.152,8588231
2016-10-20T01:37:46.030000Z,42.83967,13.15117,6.677,0.09211,33,0.201,0.2078,0.0,0.01554,0.1249,0.1581,8588561
2016-10-20T01:43:28.500000Z,42.90183,13.26517,3.382,0.05643,22,0.229,0.2521,0.0,0.01969,0.1253,0.1911,8588591
2016-10-20T01:44:08.659000Z,42.753,13.26617,11.67,0.08173,20,0.26,0.4752,0.0,0.02076,0.1747,0.1927,8588621
2016-10-20T02:20:23.200000Z,42.82133,13.182,3.381,0.06205,30,0.197,0.2333,0.0,0.01675,0.1244,0.1532,8588781
2016-10-20T02:34:46.900000Z,42.80867,13.25267,10.57,0.03782,13,0.465,0.6217,0.0,0.02659,0.2583,0.3863,8588901
2016-10-20T02:46:38.810000Z,42.878,13.25183,3.722,0.1103,26,0.23,0.2211,0.0,0.01746,0.1336,0.1875,8589001
2016-10-20T02:58:47.900000Z,42.7565,13.0812,9.743,0.07734,15,0.364,0.5886,0.0,0.02508,0.1664,0.3239,8589101
2016-10-20T03:09:33.850000Z,42.847,13.04792,6.76,0.09838,15,0.772,1.208,0.0,0.03612,0.4298,0.641,8589211
2016-10-20T03:12:41.140000Z,42.809,13.25017,11.64,0.04946,44,0.176,0.2119,0.0,0.0134,0.1087,0.1381,8589261
2016-10-20T03:15:38.560000Z,42.8105,13.2525,10.85,0.05035,40,0.197,0.4317,0.0,0.01425,0.1174,0.1586,8589301
2016-10-20T03:18:08.714000Z,42.6945,13.22083,3.883,0.06012,39,0.782,2.973,0.0,0.03408,0.3583,0.6947,8589351
2016-10-20T03:20:51.570000Z,42.76867,13.10433,7.573,0.05398,14,0.295,0.9479,0.0,0.02502,0.1621,0.2461,8589401
2016-10-20T03:27:52.750000Z,42.89583,13.24417,3.609,0.07258,26,0.25,0.2707,0.0,0.01772,0.1332,0.2116,8589461
2016-10-20T03:55:46.430000Z,42.71183,13.24467,0.9157,0.1774,17,0.314,1.004,0.0,0.02983,0.1492,0.2768,8589671
2016-10-20T03:57:55.670000Z,42.77717,13.27,11.1,0.05713,25,0.227,0.3927,0.0,0.01862,0.1378,0.1808,8589711
2016-10-20T04:17:41.770000Z,42.798,13.21217,4.188,0.07044,26,0.201,0.395,0.0,0.01766,0.1337,0.1504,8589801
2016-10-20T04:44:54.370000Z,42.8585,13.0911,8.811,0.03775,28,0.242,0.2336,0.0,0.01681,0.124,0.2074,8590031
2016-10-20T04:50:15.550000Z,42.8195,13.25533,3.116,0.06556,32,0.189,0.4549,0.0,0.0162,0.119,0.1464,8590141
2016-10-20T05:13:33.060000Z,42.8275,13.24617,4.503,0.06244,18,0.257,0.4032,0.0,0.02162,0.1494,0.2086,8590461
2016-10-20T05:59:43.180000Z,42.87567,13.23217,4.058,0.05,16,0.302,0.3458,0.0,0.02407,0.1796,0.2425,8590901
2016-10-20T06:15:06.372000Z,42.87167,13.237,3.557,0.06285,14,0.348,0.3501,0.0,0.02478,0.1876,0.293,8591071
2016-10-20T06:36:39.940000Z,42.85817,13.15118,4.618,0.05735,12,0.329,0.5025,0.0,0.02727,0.2027,0.259,8591371
