x,y,z,v,v_type,distance_km,latitude,longitude
16.36625,-5.92471,-1.00000,4.65886,0,0.00000,42.78000,12.92500
16.13113,-5.83921,-1.00000,4.66266,0,0.25000,42.78077,12.92787
15.89600,-5.75371,-1.00000,4.66672,0,0.50000,42.78154,12.93074
15.66087,-5.66823,-1.00000,4.67094,0,0.75000,42.78231,12.93361
15.42575,-5.58275,-1.00000,4.67520,0,1.00000,42.78308,12.93648
15.19062,-5.49728,-1.00000,4.67939,0,1.25000,42.78385,12.93936
14.95550,-5.41182,-1.00000,4.68337,0,1.50000,42.78462,12.94223
14.72037,-5.32637,-1.00000,4.68708,0,1.75000,42.78539,12.94510
14.48525,-5.24092,-1.00000,4.69056,0,2.00000,42.78616,12.94797
14.25012,-5.15549,-1.00000,4.69388,0,2.25000,42.78692,12.95084
14.01500,-5.07006,-1.00000,4.69712,0,2.50000,42.78769,12.95371
13.77987,-4.98464,-1.00000,4.70034,0,2.75000,42.78846,12.95658
13.54474,-4.89922,-1.00000,4.70359,0,3.00000,42.78923,12.95946
13.30962,-4.81382,-1.00000,4.70695,0,3.25000,42.79000,12.96233
13.07449,-4.72842,-1.00000,4.71045,0,3.50000,42.79077,12.96520
12.83937,-4.64303,-1.00000,4.71415,0,3.75000,42.79154,12.96807
12.60424,-4.55765,-1.00000,4.71810,0,4.00000,42.79231,12.97094
12.36912,-4.47228,-1.00000,4.72233,0,4.25000,42.79307,12.97381
12.13399,-4.38691,-1.00000,4.72688,0,4.50000,42.79384,12.97669
11.89887,-4.30156,-1.00000,4.73177,0,4.75000,42.79461,12.97956
11.66374,-4.21621,-1.00000,4.73693,0,5.00000,42.79538,12.98243
11.42861,-4.13087,-1.00000,4.74217,0,5.25000,42.79615,12.98530
11.19349,-4.04553,-1.00000,4.74733,0,5.50000,42.79692,12.98818
10.95836,-3.96021,-1.00000,4.75224,0,5.75000,42.79768,12.99105
10.72324,-3.87489,-1.00000,4.75679,0,6.00000,42.79845,12.99392
10.48811,-3.78958,-1.00000,4.76085,0,6.25000,42.79922,12.99679
10.25299,-3.70428,-1.00000,4.76432,0,6.50000,42.79999,12.99967
10.01786,-3.61899,-1.00000,4.76715,0,6.75000,42.80076,13.00254
9.78274,-3.53370,-1.00000,4.76927,0,7.00000,42.80152,13.00541
9.54761,-3.44843,-1.00000,4.77065,0,7.25000,42.80229,13.00828
9.31249,-3.36316,-1.00000,4.77129,0,7.50000,42.80306,13.01116
9.07736,-3.27790,-1.00000,4.77119,0,7.75000,42.80383,13.01403
8.84223,-3.19264,-1.00000,4.77040,0,8.00000,42.80459,13.01690
8.60711,-3.10740,-1.00000,4.76929,0,8.25000,42.80536,13.01978
8.37198,-3.02216,-1.00000,4.76842,0,8.50000,42.80613,13.02265
8.13686,-2.93693,-1.00000,4.76837,0,8.75000,42.80690,13.02552
7.90173,-2.85171,-1.00000,4.76970,0,9.00000,42.80766,13.02840
7.66661,-2.76650,-1.00000,4.77299,0,9.25000,42.80843,13.03127
7.43148,-2.68129,-1.00000,4.77879,0,9.50000,42.80920,13.03414
7.19636,-2.59610,-1.00000,4.78766,0,9.75000,42.80996,13.03702
6.96123,-2.51091,-1.00000,4.80016,0,10.00000,42.81073,13.03989
6.72611,-2.42573,-1.00000,4.81681,0,10.25000,42.81150,13.04276
6.49098,-2.34055,-1.00000,4.83814,0,10.50000,42.81226,13.04564
6.25586,-2.25539,-1.00000,4.86465,0,10.75000,42.81303,13.04851
6.02073,-2.17023,-1.00000,4.89681,0,11.00000,42.81380,13.05139
5.78560,-2.08508,-1.00000,4.93492,0,11.25000,42.81456,13.05426
5.55048,-1.99994,-1.00000,4.97822,0,11.50000,42.81533,13.05713
5.31535,-1.91481,-1.00000,5.02564,0,11.75000,42.81610,13.06001
5.08023,-1.82968,-1.00000,5.07601,0,12.00000,42.81686,13.06288
4.84510,-1.74457,-1.00000,5.12815,0,12.25000,42.81763,13.06576
4.60998,-1.65946,-1.00000,5.18083,0,12.50000,42.81839,13.06863
4.37485,-1.57436,-1.00000,5.23279,0,12.75000,42.81916,13.07150
4.13973,-1.48926,-1.00000,5.28272,0,13.00000,42.81993,13.07438
3.90460,-1.40418,-1.00000,5.32931,0,13.25000,42.82069,13.07725
3.66948,-1.31910,-1.00000,5.37124,0,13.50000,42.82146,13.08013
3.43435,-1.23403,-1.00000,5.40716,0,13.75000,42.82222,13.08300
3.19923,-1.14897,-1.00000,5.43573,0,14.00000,42.82299,13.08588
2.96410,-1.06392,-1.00000,5.45562,0,14.25000,42.82376,13.08875
2.72897,-0.97888,-1.00000,5.46600,0,14.50000,42.82452,13.09163
2.49385,-0.89384,-1.00000,5.46741,0,14.75000,42.82529,13.09450
2.25872,-0.80881,-1.00000,5.46065,0,15.00000,42.82605,13.09738
2.02360,-0.72379,-1.00000,5.44663,0,15.25000,42.82682,13.10025
1.78847,-0.63878,-1.00000,5.42629,0,15.50000,42.82758,13.10313
1.55335,-0.55377,-1.00000,5.40069,0,15.75000,42.82835,13.10600
1.31822,-0.46878,-1.00000,5.37092,0,16.00000,42.82911,13.10888
1.08310,-0.38379,-1.00000,5.33816,0,16.25000,42.82988,13.11175
0.84797,-0.29881,-1.00000,5.30363,0,16.50000,42.83064,13.11463
0.61285,-0.21384,-1.00000,5.26861,0,16.75000,42.83141,13.11750
0.37772,-0.12887,-1.00000,5.23442,0,17.00000,42.83217,13.12038
0.14260,-0.04391,-1.00000,5.20243,0,17.25000,42.83294,13.12326
-0.09253,0.04103,-1.00000,5.17402,0,17.50000,42.83370,13.12613
-0.32765,0.12597,-1.00000,5.15008,0,17.75000,42.83447,13.12901
-0.56278,0.21091,-1.00000,5.13079,0,18.00000,42.83523,13.13188
-0.79790,0.29583,-1.00000,5.11617,0,18.25000,42.83600,13.13476
-1.03303,0.38075,-1.00000,5.10619,0,18.50000,42.83676,13.13764
-1.26816,0.46566,-1.00000,5.10073,0,18.75000,42.83752,13.14051
-1.50328,0.55056,-1.00000,5.09958,0,19.00000,42.83829,13.14339
-1.73841,0.63545,-1.00000,5.10247,0,19.25000,42.83905,13.14626
-1.97353,0.72033,-1.00000,5.10901,0,19.50000,42.83982,13.14914
-2.20866,0.80521,-1.00000,5.11879,0,19.75000,42.84058,13.15202
-2.44378,0.89008,-1.00000,5.13129,0,20.00000,42.84135,13.15489
-2.67891,0.97494,-1.00000,5.14593,0,20.25000,42.84211,13.15777
-2.91403,1.05979,-1.00000,5.16207,0,20.50000,42.84287,13.16065
-3.14916,1.14463,-1.00000,5.17899,0,20.75000,42.84364,13.16352
-3.38428,1.22947,-1.00000,5.19585,0,21.00000,42.84440,13.16640
-3.61941,1.31430,-1.00000,5.21173,0,21.25000,42.84516,13.16928
-3.85453,1.39912,-1.00000,5.22574,0,21.50000,42.84593,13.17215
-4.08966,1.48393,-1.00000,5.23704,0,21.75000,42.84669,13.17503
-4.32478,1.56873,-1.00000,5.24482,0,22.00000,42.84745,13.17791
-4.55991,1.65353,-1.00000,5.24833,0,22.25000,42.84822,13.18078
-4.79504,1.73832,-1.00000,5.24687,0,22.50000,42.84898,13.18366
