x,y,z,hit,v_type,distance_km,latitude,longitude,hit_step
16.36625,-5.92471,-1.00000,0.16599,0,0.00000,42.78000,12.92500,0
16.13113,-5.83921,-1.00000,0.15270,0,0.25000,42.78077,12.92787,0
15.89600,-5.75371,-1.00000,0.13916,0,0.50000,42.78154,12.93074,0
15.66087,-5.66823,-1.00000,0.12560,0,0.75000,42.78231,12.93361,0
15.42575,-5.58275,-1.00000,0.11224,0,1.00000,42.78308,12.93648,0
15.19062,-5.49728,-1.00000,0.09931,0,1.25000,42.78385,12.93936,0
14.95550,-5.41182,-1.00000,0.08708,0,1.50000,42.78462,12.94223,0
14.72037,-5.32637,-1.00000,0.07575,0,1.75000,42.78539,12.94510,0
14.48525,-5.24092,-1.00000,0.06540,0,2.00000,42.78616,12.94797,0
14.25012,-5.15549,-1.00000,0.05605,0,2.25000,42.78692,12.95084,0
14.01500,-5.07006,-1.00000,0.04771,0,2.50000,42.78769,12.95371,0
13.77987,-4.98464,-1.00000,0.04038,0,2.75000,42.78846,12.95658,0
13.54474,-4.89922,-1.00000,0.03404,0,3.00000,42.78923,12.95946,0
13.30962,-4.81382,-1.00000,0.02864,0,3.25000,42.79000,12.96233,0
13.07449,-4.72842,-1.00000,0.02412,0,3.50000,42.79077,12.96520,0
12.83937,-4.64303,-1.00000,0.02042,0,3.75000,42.79154,12.96807,0
12.60424,-4.55765,-1.00000,0.01745,0,4.00000,42.79231,12.97094,0
12.36912,-4.47228,-1.00000,0.01511,0,4.25000,42.79307,12.97381,0
12.13399,-4.38691,-1.00000,0.01332,0,4.50000,42.79384,12.97669,0
11.89887,-4.30156,-1.00000,0.01194,0,4.75000,42.79461,12.97956,0
11.66374,-4.21621,-1.00000,0.01092,0,5.00000,42.79538,12.98243,0
11.42861,-4.13087,-1.00000,0.01023,0,5.25000,42.79615,12.98530,0
11.19349,-4.04553,-1.00000,0.00984,0,5.50000,42.79692,12.98818,0
10.95836,-3.96021,-1.00000,0.00974,0,5.75000,42.79768,12.99105,0
10.72324,-3.87489,-1.00000,0.00991,0,6.00000,42.79845,12.99392,0
10.48811,-3.78958,-1.00000,0.01033,0,6.25000,42.79922,12.99679,0
10.25299,-3.70428,-1.00000,0.01097,0,6.50000,42.79999,12.99967,0
10.01786,-3.61899,-1.00000,0.01182,0,6.75000,42.80076,13.00254,0
9.78274,-3.53370,-1.00000,0.01285,0,7.00000,42.80152,13.00541,0
9.54761,-3.44843,-1.00000,0.01405,0,7.25000,42.80229,13.00828,0
9.31249,-3.36316,-1.00000,0.01538,0,7.50000,42.80306,13.01116,0
9.07736,-3.27790,-1.00000,0.01682,0,7.75000,42.80383,13.01403,0
8.84223,-3.19264,-1.00000,0.01834,0,8.00000,42.80459,13.01690,0
8.60711,-3.10740,-1.00000,0.01995,0,8.25000,42.80536,13.01978,0
8.37198,-3.02216,-1.00000,0.02166,0,8.50000,42.80613,13.02265,0
8.13686,-2.93693,-1.00000,0.02352,0,8.75000,42.80690,13.02552,0
7.90173,-2.85171,-1.00000,0.02557,0,9.00000,42.80766,13.02840,0
7.66661,-2.76650,-1.00000,0.02787,0,9.25000,42.80843,13.03127,0
7.43148,-2.68129,-1.00000,0.03047,0,9.50000,42.80920,13.03414,0
7.19636,-2.59610,-1.00000,0.03343,0,9.75000,42.80996,13.03702,0
6.96123,-2.51091,-1.00000,0.03683,0,10.00000,42.81073,13.03989,0
6.72611,-2.42573,-1.00000,0.04074,0,10.25000,42.81150,13.04276,0
6.49098,-2.34055,-1.00000,0.04524,0,10.50000,42.81226,13.04564,0
6.25586,-2.25539,-1.00000,0.05042,0,10.75000,42.81303,13.04851,0
6.02073,-2.17023,-1.00000,0.05635,0,11.00000,42.81380,13.05139,0
5.78560,-2.08508,-1.00000,0.06313,0,11.25000,42.81456,13.05426,0
5.55048,-1.99994,-1.00000,0.07075,0,11.50000,42.81533,13.05713,0
5.31535,-1.91481,-1.00000,0.07919,0,11.75000,42.81610,13.06001,0
5.08023,-1.82968,-1.00000,0.08842,0,12.00000,42.81686,13.06288,0
4.84510,-1.74457,-1.00000,0.09841,0,12.25000,42.81763,13.06576,0
4.60998,-1.65946,-1.00000,0.10912,0,12.50000,42.81839,13.06863,0
4.37485,-1.57436,-1.00000,0.12050,0,12.75000,42.81916,13.07150,0
4.13973,-1.48926,-1.00000,0.13251,0,13.00000,42.81993,13.07438,0
3.90460,-1.40418,-1.00000,0.14511,0,13.25000,42.82069,13.07725,0
3.66948,-1.31910,-1.00000,0.15824,0,13.50000,42.82146,13.08013,0
3.43435,-1.23403,-1.00000,0.17187,0,13.75000,42.82222,13.08300,0
3.19923,-1.14897,-1.00000,0.18595,0,14.00000,42.82299,13.08588,0
2.96410,-1.06392,-1.00000,0.20043,0,14.25000,42.82376,13.08875,0
2.72897,-0.97888,-1.00000,0.21526,0,14.50000,42.82452,13.09163,0
2.49385,-0.89384,-1.00000,0.23029,0,14.75000,42.82529,13.09450,0
2.25872,-0.80881,-1.00000,0.24538,0,15.00000,42.82605,13.09738,0
2.02360,-0.72379,-1.00000,0.26040,0,15.25000,42.82682,13.10025,0
1.78847,-0.63878,-1.00000,0.27520,0,15.50000,42.82758,13.10313,0
1.55335,-0.55377,-1.00000,0.28967,0,15.75000,42.82835,13.10600,0
